"Afganistanas","Kabulas"
"Airija","Dublinas"
"Albanija","Tirana"
"Alžyras","Alžyras"
"Andora","Andora"
"Angola","Luanda"
"Antigva ir Barbuda","Sent Džonsas"
"Argentina","Buenos airės"
"Armėnija","Jerevanas"
"Australija","Kanbera"
"Austrija","Viena"
"Azerbaidžanas","Baku"
"Bahamos","Nasau"
"Bahreinas","Menama"
"Baltarusija, Gudija","Minskas"
"Bangladešas","Daka"
"Barbadosas","Bridžtaunas"
"Belgija","Briuselis"
"Belizas","Belmopanas"
"Beninas","Porto Novas"
"Bisau Gvinėja","Bisau"
"Bolivija","La Pasas"
"Bosnija ir Hercegovina","Sarajevas"
"Botsvana","Gaboronas"
"Brazilija","Brazilija"
"Brunėjus","Bandar Seri Begavanas"
"Bulgarija","Sofija"
"Burkina Fasas","Uagadugu"
"Burundis","Gitega"
"Butanas","Timpu"
"Centrinės afrikos respublika","Bangis"
"Čadas","Ndžamena"
"Čekija","Praha"
"Čilė","Santjagas"
"Danija","Kopenhaga"
"Dominika","Rozo"
"Dominikos respublika","Santo Domingas"
"Dramblio Kaulo Krantas","Jamusukras"
"Džibutis","Džibutis"
"Egiptas","Kairas"
"Ekvadoras","Kitas"
"Eritrėja","Asmara"
"Estija","Talinas"
"Esvatinis","Mbabanė"
"Etiopija","Adis Abeba"
"Fidžis","Suva"
"Filipinai","Manila"
"Gabonas","Librevilis"
"Gajana","Džordžtaunas"
"Gambija","Bandžulis"
"Gana","Akra"
"Graikija","Atėnai"
"Grenada","Sent Džordžas"
"Gvatemala","Gvatemala"
"Gvinėja","Konakris"
"Haitis","Port o Prensas"
"Hondūras","Tegusigalpa"
"Indija","Delis, Naujasis Delis"
"Indonezija","Džakarta"
"Irakas","Bagdadas"
"Iranas","Teheranas"
"Islandija","Reikjavikas"
"Ispanija","Madridas"
"Italija","Roma"
"Izraelis","Jeruzalė"
"Jamaika","Kingstonas"
"Japonija","Tokijas"
"Jemenas","Sana"
"Jordanija","Amanas"
"Jungtinė Karalystė, Didžioji Britanija","Londonas"
"Jungtinės Valstijos, JAV","Vašingtonas"
"Jungtiniai Arabų Emyratai","Abu Dabis"
"Juodkalnija","Podgorica"
"Kambodža","Pnompenis"
"Kamerūnas","Jaundė"
"Kanada","Otava"
"Kataras","Doha"
"Kazachstanas","Astana"
"Kenija","Nairobis"
"Kinija","Pekinas"
"Kipras","Nikosija"
"Kirgizstanas","Biškekas"
"Kiribatis","Pietų Tarava"
"Kolumbija","Bogota"
"Komorai","Moronis"
"Kongas","Brazavilis"
"Kongo Demokratinė respublika","Kinšasa"
"Kosta rika","San Chosė"
"Kroatija","Zagrebas"
"Kuba","Havana"
"Kuveitas","Kuveitas"
"Laosas","Vientianas"
"Latvija","Ryga"
"Lenkija","Varšuva"
"Lesotas","Maseru"
"Libanas","Beirutas"
"Liberija","Monrovija"
"Libija","Tripolis"
"Lichtenšteinas","Vaducas"
"Lietuva","Vilnius"
"Liuksemburgas","Liuksemburgas"
"Madagaskaras","Antananaryvas"
"Makedonija","Skopjė"
"Malaizija","Kvala Lumpūras"
"Malavis","Lilongvė"
"Maldyvai","Malė"
"Malis","Bamakas"
"Malta","Valeta"
"Marokas","Rabatas"
"Maršalo Salos","Madžūras"
"Mauricijus","Port Luisas"
"Mauritanija","Nuakšotas"
"Meksika","Meksikas"
"Mianmaras, Birma","Neipidas"
"Mikronezija","Palikyras"
"Moldavija","Kišiniovas"
"Monakas","Monakas"
"Mongolija","Ulan Batoras"
"Mozambikas","Maputu"
"Namibija","Vindhukas"
"Naujoji Zelandija","Velingtonas"
"Nepalas","Katmandu"
"Nyderlandai","Amsterdamas"
"Nigerija","Abudža"
"Nigeris","Niamėjus"
"Nikaragva","Managva"
"Norvegija","Oslas"
"Omanas","Maskatas"
"Pakistanas","Islamabadas"
"Palau","Melekeokas"
"Palestina","Jeruzalė"
"Panama","Panama"
"Papua Naujoji Gvinėja","Port Morsbis"
"Paragvajus","Asunsjonas"
"Peru","Lima"
"Pietų Afrika","Keiptaunas"
"Pietų Korėja","Seulas"
"Pietų Sudanas","Džuba"
"Portugalija","Lisabona"
"Prancūzija","Paryžius"
"Pusiaujo Gvinėja","Malabas"
"Rytų Timoras","Dilis"
"Ruanda","Kigalis"
"Rumunija","Bukareštas"
"Rusija","Maskva"
"Gruzija","Tbilisis"
"Saliamono Salos","Honiara"
"Salvadoras","San Salvadoras"
"Samoa","Apija"
"San Marinas","San Marinas"
"San Tomė ir Prinsipė","San Tomė"
"Saudo Arabija","Rijadas"
"Seišeliai","Viktorija"
"Senegalas","Dakaras"
"Sent Kitsas ir Nevis","Basteras"
"Sent Lusija","Kastris"
"Sent Vinsentas ir Grenadinai","Kingstaunas"
"Serbija","Belgradas"
"Siera Leonė","Fritaunas"
"Singapūras","Singapūras"
"Sirija","Damaskas"
"Slovakija","Bratislava"
"Slovėnija","Liubliana"
"Somalis","Mogadišas"
"Sudanas","Chartumas"
"Suomija","Helsinkis"
"Surinamas","Paramaribas"
"Šiaurės Korėja","Pchenjanas"
"Šri Lanka","Šri Džajavardanapura Kotė"
"Švedija","Stokholmas"
"Šveicarija","Bernas"
"Tailandas","Bankokas"
"Tanzanija","Dodoma / Dar es Salamas"
"Togas","Lomė"
"Tonga","Nukualofa"
"Trinidadas ir Tobagas","Port of Speinas"
"Tunisas","Tunisas"
"Turkija","Ankara"
"Turkmėnistanas","Ašchabadas"
"Tuvalu","Funafutis"
"Uganda","Kampala"
"Ukraina","Kyjevas"
"Urugvajus","Montevidėjas"
"Uzbekistanas","Taškentas"
"Vanuatu","Port Vila"
"Venesuela","Karakasas"
"Vengrija","Budapeštas"
"Vietnamas","Hanojus"
"Vokietija","Berlynas"
"Zambija","Lusaka"
"Zimbabvė","Hararė"
"Žaliasis Kyšulys","Praja"
